GAME_ID,GAME_DATE,SEASON,SEASON_TYPE,HOME_TEAM,HOME_REST_DAYS,HOME_ROLL_PTS,HOME_ROLL_REB,HOME_ROLL_AST,HOME_ROLL_FG_PCT,HOME_ROLL_PLUS_MINUS,AWAY_TEAM,AWAY_REST_DAYS,AWAY_ROLL_PTS,AWAY_ROLL_REB,AWAY_ROLL_AST,AWAY_ROLL_FG_PCT,AWAY_ROLL_PLUS_MINUS,HOME_WIN,SPLIT
0021500242,2015-11-28,2015,regular_season,SAS,1.0,97.2,45.4,25.4,0.46690000000000004,8.9,ATL,1.0,102.2,40.2,24.7,0.46020000000000005,1.1,1,train
0021500243,2015-11-28,2015,regular_season,UTA,3.0,95.7,42.1,19.2,0.44420000000000004,-0.7,NOP,1.0,102.3,42.9,21.2,0.4505,-3.9,1,train
0021500244,2015-11-28,2015,regular_season,POR,4.0,98.2,44.4,20.1,0.43279999999999996,-4.4,LAL,4.0,92.7,44.2,18.7,0.41580000000000006,-8.7,1,train
0021500245,2015-11-28,2015,regular_season,GSW,1.0,115.4,43.4,29.7,0.5073000000000001,14.1,SAC,1.0,105.2,44.5,24.5,0.46819999999999995,-1.2,1,train
0021500246,2015-11-29,2015,regular_season,CHA,2.0,104.3,41.8,22.0,0.45809999999999995,5.4,MIL,2.0,97.6,38.5,23.0,0.4612,-10.1,1,train
0021500247,2015-11-29,2015,regular_season,LAC,2.0,100.8,40.6,21.0,0.4545,-1.9,MIN,2.0,101.0,45.0,19.6,0.4532,-1.6,1,train
0021500248,2015-11-29,2015,regular_season,BKN,1.0,99.4,47.1,21.2,0.44210000000000005,-4.1,DET,2.0,94.2,44.5,17.5,0.4112,-4.1,1,train
0021500249,2015-11-29,2015,regular_season,ORL,2.0,100.3,46.1,22.3,0.4324,1.5,BOS,2.0,102.3,44.6,24.6,0.43879999999999997,5.7,1,train
0021500250,2015-11-29,2015,regular_season,TOR,1.0,100.8,44.1,18.3,0.44399999999999995,4.6,PHX,2.0,108.7,42.8,20.6,0.46210000000000007,-0.8,0,train
0021500251,2015-11-29,2015,regular_season,MEM,2.0,100.4,38.6,20.8,0.4415,0.9,PHI,2.0,91.0,41.9,17.7,0.41669999999999996,-11.6,1,train
0021500252,2015-11-29,2015,regular_season,NYK,2.0,93.2,44.4,18.5,0.40869999999999995,-2.7,HOU,2.0,100.1,44.9,20.0,0.42069999999999996,-6.0,0,train
0021500253,2015-11-29,2015,regular_season,LAL,1.0,91.9,43.5,19.3,0.41740000000000005,-10.5,IND,2.0,105.0,44.5,22.9,0.4633,11.9,0,train
0021500254,2015-11-30,2015,regular_season,DET,1.0,93.0,45.5,17.9,0.3978,-3.1,HOU,1.0,100.8,44.1,20.0,0.4218,-5.9,1,train
0021500255,2015-11-30,2015,regular_season,MIA,3.0,95.2,46.0,19.2,0.43710000000000004,4.4,BOS,1.0,102.3,44.4,25.6,0.43809999999999993,4.9,0,train
0021500256,2015-11-30,2015,regular_season,ATL,2.0,100.3,41.8,24.5,0.45149999999999996,0.1,OKC,3.0,106.7,46.2,21.0,0.46719999999999995,7.4,1,train
0021500257,2015-11-30,2015,regular_season,CHI,3.0,99.3,47.4,23.3,0.41859999999999997,-1.2,SAS,2.0,97.4,45.7,24.5,0.46109999999999995,9.1,1,train
0021500258,2015-11-30,2015,regular_season,MIL,1.0,96.4,39.0,22.8,0.45630000000000004,-11.4,DEN,2.0,97.1,42.6,21.4,0.43010000000000004,-6.7,1,train
